date,description,amount,forex_ref
2025-09-04,"GODADDY INDIA DOMAIN, MUMBAI",-3439.7,
2025-09-08,"COCO INDIRA NAGAR, CHENNAI",-505.9,
2025-09-08,"GITHUB, INC., SAN FRANCISCO [USD 95.32]",-8408.27,USD 95.32
2025-09-10,Surcharge waiver for fuel txn,5.0,
2025-09-10,"IND*LINKEDIN (PGSI), www.linkedin.",-8400.0,
2025-09-10,"AMAZON PAY INDIA PRIVA, Bangalore",-728.16,
2025-09-11,"ATLASSIAN, AMSTERDAM [USD 151.75]",-13360.68,USD 151.75
2025-09-11,"NETFLIX, MUMBAI",-649.0,
2025-09-16,"AMAZON PAY INDIA PRIVA, Bangalore",551.58,
2025-09-16,"AMAZON WEB SERVICES, MUMBAI",-213669.28,
2025-09-17,"IND*LINKEDIN (PGSI), www.linkedin.",-3654.0,
2025-09-17,"SANGEETHA VEG, CHENNAI",-966.0,
2025-09-17,"AMAZON PAY INDIA PRIVA, Bangalore",-299.25,
2025-09-18,"AMAZON PAY INDIA PRIVA, Bangalore",-229.0,
2025-09-18,"AMAZON PAY INDIA PRIVA, Bangalore",-994.24,
